location,scenario,future_period,gcm,temp_metric_name,temp_metric_value,historical_temp_metric_value,temp_deviation_from_historical,temp_rank,temp_class
Adelaide,ssp126,2030,NorESM2-MM,annual_mean_temperature,17.063,17.103,-0.04,1,coolest
Adelaide,ssp126,2030,CMCC-ESM2,annual_mean_temperature,17.536,17.103,0.433,2,
Adelaide,ssp126,2030,EC-Earth3,annual_mean_temperature,17.62,17.103,0.517,3,
Adelaide,ssp126,2030,MPI-ESM1-2-HR,annual_mean_temperature,17.639,17.103,0.536,4,median
Adelaide,ssp126,2030,ACCESS-CM2,annual_mean_temperature,17.693,17.103,0.589,5,
Adelaide,ssp126,2030,ACCESS-ESM1-5,annual_mean_temperature,17.728,17.103,0.625,6,
Adelaide,ssp126,2030,CESM2,annual_mean_temperature,18.344,17.103,1.241,7,hottest
Adelaide,ssp126,2050,NorESM2-MM,annual_mean_temperature,17.196,17.103,0.093,1,coolest
Adelaide,ssp126,2050,EC-Earth3,annual_mean_temperature,17.663,17.103,0.56,2,
Adelaide,ssp126,2050,MPI-ESM1-2-HR,annual_mean_temperature,17.685,17.103,0.582,3,
Adelaide,ssp126,2050,CMCC-ESM2,annual_mean_temperature,17.996,17.103,0.892,4,median
Adelaide,ssp126,2050,ACCESS-ESM1-5,annual_mean_temperature,18.018,17.103,0.915,5,
Adelaide,ssp126,2050,CESM2,annual_mean_temperature,18.225,17.103,1.122,6,
Adelaide,ssp126,2050,ACCESS-CM2,annual_mean_temperature,18.234,17.103,1.131,7,hottest
Adelaide,ssp126,2070,NorESM2-MM,annual_mean_temperature,17.105,17.103,0.002,1,coolest
Adelaide,ssp126,2070,MPI-ESM1-2-HR,annual_mean_temperature,17.706,17.103,0.603,2,
Adelaide,ssp126,2070,ACCESS-ESM1-5,annual_mean_temperature,17.971,17.103,0.868,3,
Adelaide,ssp126,2070,EC-Earth3,annual_mean_temperature,18.05,17.103,0.947,4,median
Adelaide,ssp126,2070,CMCC-ESM2,annual_mean_temperature,18.067,17.103,0.964,5,
Adelaide,ssp126,2070,ACCESS-CM2,annual_mean_temperature,18.482,17.103,1.379,6,
Adelaide,ssp126,2070,CESM2,annual_mean_temperature,18.76,17.103,1.657,7,hottest
Adelaide,ssp370,2030,NorESM2-MM,annual_mean_temperature,16.922,17.103,-0.181,1,coolest
Adelaide,ssp370,2030,MPI-ESM1-2-HR,annual_mean_temperature,17.316,17.103,0.213,2,
Adelaide,ssp370,2030,CMCC-ESM2,annual_mean_temperature,17.63,17.103,0.527,3,
Adelaide,ssp370,2030,EC-Earth3,annual_mean_temperature,17.756,17.103,0.653,4,median
